mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,filename,label,class
-315.7374,130.48872,-19.235079,37.612907,-7.0963492,14.15197,-9.277288,3.5966806,-2.1229622,0.24985906,2.7664125,-2.821655,1.2879869,-9.033942,-0.08914826,-5.8801327,0.25481114,-5.4974213,-1.5954211,-0.7385202,-3.8887331,-1.2301345,-2.905105,2.4955397,-3.518575,2.259437,1.4130884,1.0168873,0.43799326,1.2713445,-0.57921904,-3.2429886,1.5862471,-2.0701368,0.6322559,-0.51063895,-0.4779733,-0.6135845,-0.62014425,-2.05146,cat_1.wav,0,cat
-289.51193,19.421558,-87.54589,25.920717,-32.63113,16.002485,-29.105543,10.232974,5.9342422,4.722626,-0.44301555,-2.965562,2.544779,-17.010147,5.787231,-9.922974,7.560798,11.276202,18.1065,17.005556,5.78699,-0.48688573,-7.3704386,1.976324,-2.3185728,0.8657106,-7.871657,-4.1037273,-3.9356952,-1.4159915,-2.149454,-5.705933,-1.260416,-0.18138443,4.7025585,-1.4189521,0.3279847,0.49164,2.7782278,-1.5883908,cat_10.wav,0,cat
-194.4646,95.7658,-44.06707,41.336422,-21.467157,19.416151,-0.41318184,0.85574865,-6.13012,-4.9920344,10.56281,4.667038,27.601057,2.0777001,-15.025972,-15.84574,-13.007781,4.000739,1.9552737,-18.504547,-8.1479,14.898946,15.845705,4.6066008,-3.9438827,5.9490976,-7.3309655,-15.119905,-0.5843566,2.5927026,-4.787362,-9.75363,1.251385,7.9193225,4.308655,2.4386866,0.18234666,-5.3166747,-3.5423696,0.21664521,cat_100.wav,0,cat
-260.47742,90.3146,-41.42015,0.4818557,-28.364895,1.0523617,-18.657883,-11.341306,-5.092127,-6.8068,-8.950236,-12.366605,-3.7607963,-12.258695,-3.7993844,-5.456339,-3.2049487,-2.751511,-2.0689147,1.2362465,-0.897432,-3.3297222,-2.7399259,1.7795995,-1.4506886,-0.5287429,-5.541235,-3.8769383,-1.2841226,-1.4695083,-2.8783731,-5.279872,-2.9323454,-3.4379966,2.6826797,2.9898336,3.9839778,4.598729,2.0267978,-0.5759921,cat_101.wav,0,cat
-279.71857,109.36137,-47.609085,5.1301045,-34.793247,6.489965,-21.719046,-9.108303,-7.3825803,-4.975659,-7.0997205,-13.185154,-5.2169294,-14.52453,-3.6103187,-7.289844,1.6638106,-1.0670109,5.090714,8.117722,1.9221963,-6.1558223,-10.929817,-2.2990422,-3.368994,1.1848385,-7.2730865,-4.4777923,-1.1828923,-0.13965254,-3.849919,-7.8333483,-3.6714675,-3.5968194,4.6060433,3.982406,8.402542,7.5072823,4.8166113,0.12918358,cat_102.wav,0,cat
-283.1208,109.88221,-46.048756,7.7698817,-31.764912,5.1380873,-21.964334,-7.9705114,-6.804542,-5.7663307,-7.552444,-13.504488,-5.184061,-13.510636,-2.0654764,-4.33645,4.7918863,-0.44793436,2.406064,3.8217754,-2.1783454,-6.516864,-10.331941,-2.4110384,-3.9291606,-0.08148601,-7.016074,-3.7218363,-0.6696222,-1.964483,-4.229696,-5.3943453,-0.88742447,-1.2739381,3.5542965,1.8187336,5.6025095,3.5986829,1.3168454,-0.848668,cat_103.wav,0,cat
-289.31683,121.79374,-34.322605,57.64243,-17.659323,39.718052,-13.2038765,22.075487,-3.2184658,10.994395,6.4553595,-2.81312,6.487068,-8.524321,10.761475,-5.76981,8.846198,-5.868541,4.5533314,-1.6277137,0.43891853,1.0635306,-4.1359954,4.6723814,-4.553332,5.222871,-5.093517,3.3375723,-2.2601528,1.6397712,0.53880745,-0.78733474,2.1422708,-2.922963,3.115626,-2.8374693,2.3680058,-3.1624439,1.4162505,-1.5428414,cat_105.wav,0,cat
-273.18448,124.26914,-42.170826,61.826298,-16.500744,41.885563,-14.508069,21.478786,-4.2372785,12.05963,6.1092753,-2.874986,6.0402026,-8.66465,12.611059,-5.8112288,8.917323,-5.7844677,5.9809093,-1.3207822,1.5301621,1.3985887,-3.111658,5.928839,-4.236702,6.7660217,-4.004332,4.7476153,-1.40623,3.5770888,0.93230176,-0.5762604,3.0132053,-1.9705756,4.2223907,-2.5402026,3.0068808,-2.8159285,2.2621975,-1.5664407,cat_106.wav,0,cat
-261.55084,125.29982,-35.665424,56.918343,-11.108333,39.818516,-12.551518,16.658392,-5.427516,8.690008,4.097526,-5.7505965,2.9008641,-7.4358373,12.473637,-4.965278,8.189665,-4.50786,4.949741,-0.7330253,0.7089054,1.2097964,-3.5569806,4.5260553,-3.868579,5.5452223,-3.1591961,4.632121,-0.6438164,4.318296,2.0102396,-0.37407458,3.2424538,-1.0241587,5.335372,-1.4541247,3.3178449,-1.2281809,2.7565212,-0.031032806,cat_107.wav,0,cat
-259.8768,68.95384,-67.83597,57.46992,-29.89152,17.443256,3.2014148,12.164343,19.679832,26.714453,27.826714,8.866858,6.084227,-18.882193,-2.6912365,7.3778067,13.025385,0.8551261,3.588469,20.878145,8.834878,-4.7555757,-1.1150246,5.902129,-2.653881,1.6163136,10.090383,9.0614195,0.24396066,6.349363,5.615712,-4.647696,-0.123096295,1.4961768,-1.0806853,1.7380205,4.4395113,-0.8301076,1.414404,-2.7332275,cat_108.wav,0,cat
